0 0
3,80071044604633E-05 0
0,0202172712427054 8,26354572384935E-06
0,02025057293834 8,30444799794433E-06
0,0202838747084931 8,34548511168625E-06
0,0203171765532876 8,38665728772423E-06
0,0203504784728464 8,42796474871237E-06
0,0203837804672924 8,46940771730974E-06
0,0204170825367487 8,51098641618043E-06
0,0204503846813381 8,5527010679935E-06
0,0204836869011837 8,59455189542304E-06
0,0205169891964083 8,63653912114813E-06
0,0205502915671349 8,67866296785291E-06
0,0205835940134865 8,72092365822653E-06
0,020616896535586 8,76332141496319E-06
0,0206501991335564 8,80585646076213E-06
0,0206835018075206 8,84852901832765E-06
0,0207168045576016 8,89133931036913E-06
0,0207501073839223 8,93428755960102E-06
0,0207834102866056 8,97737398874283E-06
0,0208167132657746 9,0205988205192E-06
0,0208500163215522 9,06396227765982E-06
0,0208833194540613 9,10746458289953E-06
0,0209166226634249 9,15110595897827E-06
0,0209499259497659 9,1948866286411E-06
0,0209832293132073 9,23880681463821E-06
0,021016532753872 9,28286673972494E-06
0,0210498362718831 9,32706662666177E-06
0,0210831398673634 9,37140669821433E-06
0,0211164435404359 9,41588717715343E-06
0,0211497472912236 9,46050828625506E-06
0,0211830511198494 9,50527024830035E-06
0,0212163550264363 9,55017328607567E-06
0,0212496590111073 9,59521762237256E-06
0,0212829630739852 9,64040347998776E-06
0,0213162672151931 9,68573108172324E-06
0,0213495714348538 9,73120065038618E-06
0,0213828757330905 9,77681240878901E-06
0,0214161801100259 9,82256657974937E-06
0,0214494845657832 9,86846338609017E-06
0,0214827891004851 9,91450305063957E-06
0,0215160937142548 9,96068579623099E-06
0,0215493984072152 1,00070118457031E-05
0,0215827031794891 1,00534814218999E-05
0,0216160080311996 1,01000947476707E-05
0,0216493129624697 1,01468520458699E-05
0,0216826179734223 1,01937535393575E-05
0,0217159230641803 1,02407994509986E-05
0,0217492282348668 1,02879900036637E-05
0,0217825334856046 1,03353254202287E-05
0,0218158388165168 1,03828059235747E-05
0,0218491442277263 1,04304317365882E-05
0,021882449719356 1,0478203082161E-05
0,021915755291529 1,05261201831905E-05
0,0219490609443682 1,05741832625791E-05
0,0219823666779965 1,06223925432349E-05
0,022015672492537 1,06707482480712E-05
0,0220489783881126 1,07192506000067E-05
0,0220822843648462 1,07678998219656E-05
0,0221155904228608 1,08166961368776E-05
0,0221488965622794 1,08656397676774E-05
0,022182202783225 1,09147309373057E-05
0,0222155090858205 1,09639698687082E-05
0,0222488154701888 1,10133567848361E-05
0,022282121936453 1,10628919086464E-05
0,022315428484736 1,11125754631011E-05
0,0223487351151608 1,11624076711679E-05
0,0223820418278504 1,121238875582E-05
0,0224153486229276 1,12625189400361E-05
0,0224486555005156 1,13127984468002E-05
0,0224819624607372 1,1363227499102E-05
0,0225152695037154 1,14138063199367E-05
0,0225485766295732 1,14645351323048E-05
0,0225818838384336 1,15154141592127E-05
0,0226151911304195 1,15664436236719E-05
0,0226484985056539 1,16176237486998E-05
0,0226818059642598 1,16689547573192E-05
0,0227151135063602 1,17204368725584E-05
0,0227484211320779 1,17720703174515E-05
0,022781728841536 1,18238553150379E-05
0,0228150366348575 1,18757920883627E-05
0,0228483445121654 1,19278808604766E-05
0,0228816524735825 1,19801218544359E-05
0,0229149605192319 1,20325152933026E-05
0,0229482686492366 1,20850614001441E-05
0,0229815768637195 1,21377603980336E-05
0,0230148851628035 1,21906125100499E-05
0,0230481935466118 1,22436179592773E-05
0,0230815020152672 1,2296776968806E-05
0,0231148105688927 1,23500897617318E-05
0,0231481192076114 1,24035565611559E-05
0,0231814279315461 1,24571775901855E-05
0,0232147367408198 1,25109530719333E-05
